Rank,Peak,All Time Peak,Actual gross in local currency,Adjusted gross in dollars,Artist,Tour title,Year(s),Shows,Average gross,number of average gross in dollars
1,1.0,2.0,780000000,780000000,Taylor Swift,The Eras Tour †,2023–2024,56,13928571,13928571
2,1.0,7.0,579800000,579800000,Beyoncé,Renaissance World Tour,2023,56,10353571,10353571
3,1.0,2.0,411000000,560622615,Madonna,Sticky & Sweet Tour ‡,2008–2009,85,4835294,6595560
4,2.0,10.0,397300000,454751555,Pink,Beautiful Trauma World Tour,2018–2019,156,2546795,2915074
5,2.0,,345675146,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,7600846
6,2.0,10.0,305158363,388978496,Madonna,The MDNA Tour,2012,88,3467709,4420210
7,2.0,,280000000,381932682,Celine Dion,Taking Chances World Tour,2008–2009,131,2137405,2915516
7,,,257600000,257600000,Pink,Summer Carnival †,2023–2024,41,6282927,6282926
9,,,256084556,312258401,Beyoncé,The Formation World Tour,2016,49,5226215,6372620
10,,,250400000,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,3636963
11,,,229100000,283202896,Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,1735606,2145476
12,,14.0,227400000,295301479,Lady Gaga,The Monster Ball Tour *,2009–2011,203,1118227,1454687
13,,,204000000,251856802,Katy Perry,Prismatic World Tour,2014–2015,151,1350993,1667925
14,1.0,,200000000,299676265,Cher,Living Proof: The Farewell Tour ‡,2002–2005,325,615385,922080
15,2.0,,194000000,281617035,Madonna,Confessions Tour,2006,60,3233333,4693617
16,,,184000000,227452347,Pink,The Truth About Love Tour,2013–2014,142,1295775,1601777
17,,,170000000,213568571,Lady Gaga,Born This Way Ball,2012–2013,98,1734694,2179271
18,,,169800000,207046755,Madonna,Rebel Heart Tour,2015–2016,82,2070732,2524960
19,,,167700000,204486106,Adele,Adele Live 2016,2016–2017,121,1385950,1689967
20,,,150000000,185423109,Taylor Swift,The Red Tour,2013–2014,86,1744186,2156082
