Rank,Peak,All Time Peak,Artist,Start Year,End Year,Tour title,Shows,average gross in $,overall gross in $
1,1.0,2.0,Taylor Swift,2023,2024,The Eras Tour †,56,13928571,780000000
2,1.0,7.0,Beyoncé,2023,2023,Renaissance World Tour,56,10353571,579800000
3,1.0,2.0,Madonna,2008,2009,Sticky & Sweet Tour ‡,85,6595560,560622615
4,2.0,10.0,Pink,2018,2019,Beautiful Trauma World Tour,156,2915074,454751555
5,2.0,,Taylor Swift,2018,2018,Reputation Stadium Tour,53,7600846,402844849
6,2.0,10.0,Madonna,2012,2012,The MDNA Tour,88,4420210,388978496
7,2.0,,Celine Dion,2008,2009,Taking Chances World Tour,131,2915516,381932682
7,,,Pink,2023,2024,Summer Carnival †,41,6282926,257600000
9,,,Beyoncé,2016,2016,The Formation World Tour,49,6372620,312258401
10,,,Taylor Swift,2015,2015,The 1989 World Tour,85,3636963,309141878
11,,,Beyoncé,2013,2014,The Mrs. Carter Show World Tour,132,2145476,283202896
12,,14.0,Lady Gaga,2009,2011,The Monster Ball Tour *,203,1454687,295301479
13,,,Katy Perry,2014,2015,Prismatic World Tour,151,1667925,251856802
14,1.0,,Cher,2002,2005,Living Proof: The Farewell Tour ‡,325,922080,299676265
15,2.0,,Madonna,2006,2006,Confessions Tour,60,4693617,281617035
16,,,Pink,2013,2014,The Truth About Love Tour,142,1601777,227452347
17,,,Lady Gaga,2012,2013,Born This Way Ball,98,2179271,213568571
18,,,Madonna,2015,2016,Rebel Heart Tour,82,2524960,207046755
19,,,Adele,2016,2017,Adele Live 2016,121,1689967,204486106
20,,,Taylor Swift,2013,2014,The Red Tour,86,2156082,185423109
